series,episode,baker,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
2,2,mary-anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",9,IN
2,2,robert,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",Robert Billington,25,Photographer,London,5,IN
2,2,simon,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Simon Blackwell,31,Rugby Coach,Norfolk,11,OUT
2,2,urvashi,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,Urvashi Roe,40,Head of Marketing,"Enfield, London",7,IN
2,2,yasmin,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",6,IN
2,3,ben,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,Ben Frazer,31,Graphic Designer,Northampton,3,IN
2,3,holly,Picnic Loaf,Stilton and Walnut Rolls,Holly Bell,31,Advertising executive,Leicester,6,IN
2,3,ian,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,OUT
2,3,janet,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
2,3,jason,Cheese and Onion Tear and Share Loaf,UNKNOWN,Jason White,19,Civil Engineering Student,Croydon,7,IN
2,3,"""jo""","Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA,NA,NA,NA,NA
2,3,mary-anne,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",5,IN
2,3,robert,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Robert Billington,25,Photographer,London,4,IN
2,3,urvashi,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Urvashi Roe,40,Head of Marketing,"Enfield, London",9,OUT
2,3,yasmin,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",2,STAR BAKER
2,4,ben,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Ben Frazer,31,Graphic Designer,Northampton,5,OUT
2,4,holly,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Holly Bell,31,Advertising executive,Leicester,3,STAR BAKER
2,4,janet,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,IN
2,4,jason,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",Jason White,19,Civil Engineering Student,Croydon,1,STAR BAKER
2,4,"""jo""",Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA,NA,NA,NA
2,4,mary-anne,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
2,4,robert,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Robert Billington,25,Photographer,London,7,IN
2,4,yasmin,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",6,IN
2,5,holly,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,Holly Bell,31,Advertising executive,Leicester,4,IN
2,5,janet,Chicken and Chestnut Pie,Rhubarb Meringue Pie,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",1,STAR BAKER
2,5,jason,Brown Down Chicken Pie,Plum Meringue Pie,Jason White,19,Civil Engineering Student,Croydon,7,OUT
2,5,"""jo""",Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA,NA,NA,NA,NA
2,5,mary-anne,Chicken and Bacon Pie,Midnight Meringue,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
2,5,robert,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,Robert Billington,25,Photographer,London,3,OUT
2,5,yasmin,Family Fish Pie,Peach and Raspberry Meringue Pie,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",5,IN
2,6,holly,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,Holly Bell,31,Advertising executive,Leicester,3,IN
2,6,janet,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",5,IN
2,6,"""jo""",Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA,NA,NA,NA,NA
2,6,mary-anne,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",4,IN
2,6,yasmin,Baked Amaretto Cheesecake,Rose Croquembouche,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",2,OUT
2,7,holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Holly Bell,31,Advertising executive,Leicester,1,IN
2,7,janet,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,OUT
2,7,"""jo""",Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA,NA,NA,NA
2,7,mary-anne,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
2,8,holly,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Holly Bell,31,Advertising executive,Leicester,2,Runner-up
2,8,"""jo""",Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA,NA,NA,NA
2,8,mary-anne,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",3,Runner-up
3,1,brendan,"Plum, Sour Cherry & Walnut",UNKNOWN,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,10,IN
3,1,cathryn,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,IN
3,1,danny,"Plum, Ginger & Orange",UNKNOWN,Danny Bryden,45,Intensive care consultant,Sheffield,7,IN
3,1,james,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",James Morton,21,Medical student,"Hillswick, Shetland Islands",2,IN
3,1,john,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,John Whaite,22,Law student,Wigan,11,IN
3,1,manisha,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,Manisha Parmar,27,Nursery nurse,Leicester,6,IN
3,1,natasha,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire",12,OUT
3,1,peter,"Pear, Muscat & Chocolate",Jubilee Cake,Peter Maloney,43,Sales manager,"Windsor, Berkshire",3,IN
3,1,ryan,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,Ryan Chong,38,Photographer,Bristol,8,IN
3,1,sarah-jane,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",1,IN
3,1,stuart,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,IN
3,1,victoria,Pear and Pecan,Blackbird Pie Cake,Victoria Chester,50,CEO of the charity Plantlife,Somerset,4,STAR BAKER
3,2,brendan,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,4,IN
3,2,cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",8,IN
3,2,danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,Danny Bryden,45,Intensive care consultant,Sheffield,3,IN
3,2,james,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",James Morton,21,Medical student,"Hillswick, Shetland Islands",2,IN
3,2,john,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",John Whaite,22,Law student,Wigan,1,STAR BAKER
3,2,manisha,Indian FlatbreadsItalian Flatbreads,UNKNOWN,Manisha Parmar,27,Nursery nurse,Leicester,6,IN
3,2,peter,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",Peter Maloney,43,Sales manager,"Windsor, Berkshire",11,OUT
3,2,ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",Ryan Chong,38,Photographer,Bristol,5,IN
3,2,sarah-jane,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",10,IN
3,2,stuart,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,IN
3,2,victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",Victoria Chester,50,CEO of the charity Plantlife,Somerset,7,IN
3,3,brendan,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,9,IN
3,3,cathryn,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
3,3,danny,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
3,3,james,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",James Morton,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER
3,3,john,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",John Whaite,22,Law student,Wigan,6,IN
3,3,manisha,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,Manisha Parmar,27,Nursery nurse,Leicester,10,IN
3,3,ryan,Spiced Pear Tarte Tatin,UNKNOWN,Ryan Chong,38,Photographer,Bristol,5,IN
3,3,sarah-jane,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",8,IN
3,3,stuart,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",7,IN
3,3,victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,Victoria Chester,50,CEO of the charity Plantlife,Somerset,4,OUT
3,4,brendan,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER
3,4,cathryn,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
3,4,danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
3,4,james,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",James Morton,21,Medical student,"Hillswick, Shetland Islands",5,IN
3,4,john,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,John Whaite,22,Law student,Wigan,6,IN
3,4,manisha,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,Manisha Parmar,27,Nursery nurse,Leicester,9,IN
3,4,ryan,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",Ryan Chong,38,Photographer,Bristol,7,IN
3,4,sarah-jane,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
3,4,stuart,Black Forest Torte,Choca Blocka Mocha Meringue,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",8,OUT
3,5,brendan,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,IN
3,5,cathryn,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",1,IN
3,5,danny,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,Danny Bryden,45,Intensive care consultant,Sheffield,7,IN
3,5,james,Four Pig Wellington,Sweet Potato Pie,James Morton,21,Medical student,"Hillswick, Shetland Islands",6,IN
3,5,john,Venison and Haggis Wellington,Star-Spangled Pecan Pie,John Whaite,22,Law student,Wigan,2,IN
3,5,manisha,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,Manisha Parmar,27,Nursery nurse,Leicester,5,OUT
3,5,ryan,Curry Spiced Seabass Wellington,Key Lime Pie,Ryan Chong,38,Photographer,Bristol,8,STAR BAKER
3,5,sarah-jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
3,6,brendan,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER
3,6,cathryn,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
3,6,danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
3,6,james,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",James Morton,21,Medical student,"Hillswick, Shetland Islands",7,IN
3,6,john,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,John Whaite,22,Law student,Wigan,5,IN
3,6,ryan,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",Ryan Chong,38,Photographer,Bristol,6,IN
3,6,sarah-jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
3,7,brendan,Chelsea Bunskis,Black Forest Christmas Stollen,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,4,IN
3,7,cathryn,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,IN
3,7,danny,Bakewell Chelsea Buns,European Christmas Wreath,Danny Bryden,45,Intensive care consultant,Sheffield,2,STAR BAKER
3,7,james,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,James Morton,21,Medical student,"Hillswick, Shetland Islands",1,IN
3,7,john,Cherry and Almond Saffron Buns,Marzipan Stollen,John Whaite,22,Law student,Wigan,3,IN
3,7,ryan,Lardy Cakes,Char Siu Bao,Ryan Chong,38,Photographer,Bristol,6,OUT
3,7,sarah-jane,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",7,OUT
3,8,brendan,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,2,IN
3,8,cathryn,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,OUT
3,8,danny,Spiced Almond Drinks Crackers,Gingerbread Big Ben,Danny Bryden,45,Intensive care consultant,Sheffield,4,IN
